ID,Categoria,Pergunta,Resposta,Tags
1,Implantação,Como faço para começar a usar o sistema pela primeira vez?,"Bem-vindo à Nola! Para começar, acesse o link enviado no seu e-mail de boas-vindas e crie sua senha. Em seguida, preencha as informações básicas do seu restaurante: nome, endereço, CNPJ e horário de funcionamento. Depois, nosso time de CS irá agendar uma sessão de implantação para configurar o cardápio, mesas e usuários junto com você.",onboarding;primeiro acesso;inicio
2,Implantação,Quanto tempo leva o processo de implantação?,"O processo de implantação completo leva em média de 3 a 7 dias úteis, dependendo do tamanho do restaurante e da complexidade do cardápio. Dividimos em etapas: configuração inicial (dia 1), cadastro de cardápio (dias 2-3), treinamento da equipe (dias 4-5) e go-live acompanhado (dias 6-7). Nosso time estará disponível em cada etapa.",implantação;prazo;tempo
3,Implantação,Como cadastrar meu cardápio no sistema?,"Para cadastrar o cardápio, acesse Menu > Cardápio > Novo Item. Preencha: nome do produto, categoria, preço de venda, descrição e foto (opcional). Você também pode importar em massa usando nossa planilha modelo — baixe em Configurações > Importação > Baixar Modelo de Cardápio.",cardápio;cadastro;importação;produto
4,Implantação,Como adicionar e configurar as mesas do restaurante?,"Acesse Configurações > Mesas e Ambientes. Clique em 'Novo Ambiente' para criar uma área (ex: Salão, Varanda, Bar). Dentro de cada ambiente, clique em 'Adicionar Mesa' e defina o número/nome e capacidade de cada uma.",mesas;ambiente;configuração;layout
5,Conta e Acesso,Esqueci minha senha. Como recuperar o acesso?,"Na tela de login, clique em 'Esqueci minha senha'. Informe o e-mail cadastrado e você receberá um link para redefinição em até 5 minutos. Verifique também a caixa de spam. O link expira em 30 minutos.",senha;acesso;login;recuperação
6,Conta e Acesso,Como criar um novo usuário para minha equipe?,"Acesse Configurações > Usuários > Novo Usuário. Informe o nome, e-mail e o perfil de acesso (Gerente, Garçom, Caixa ou Cozinheiro). O sistema enviará automaticamente um convite por e-mail.",usuário;equipe;permissão;perfil
7,Suporte Técnico,O sistema está lento ou travando. O que fazer?,"Primeiro, tente atualizar a página (F5) e limpar o cache do navegador. Se o problema persistir, verifique sua conexão com a internet. Recomendamos uso do Google Chrome atualizado.",lentidão;travamento;desempenho;bug
8,Suporte Técnico,Não consigo emitir nota fiscal. O que está acontecendo?,"Problemas com emissão de NF-e geralmente têm 3 causas: (1) certificado digital vencido; (2) dados fiscais incompletos; (3) instabilidade na SEFAZ. Se persistir, abra um chamado com o número do erro exibido.",nota fiscal;nfe;fiscal;SEFAZ;erro
9,Suporte Técnico,O cardápio não está aparecendo no tablet/totem. O que fazer?,"Verifique se o tablet/totem está conectado à internet e se o app Nola está atualizado. Tente sincronizar manualmente em Cardápio > Sincronizar Dispositivos.",tablet;totem;dispositivo;sincronização;cardápio
10,Suporte Técnico,Um pedido foi lançado errado. Como corrigir ou cancelar?,"Para corrigir um pedido em aberto: acesse Pedidos > Pedidos em Andamento, localize o pedido e clique em 'Editar'. Para cancelar, clique em 'Cancelar Pedido' e informe o motivo.",pedido;cancelamento;correção;estorno
11,Funcionalidades,Como funciona o módulo de gestão de mesas?,"O módulo de mesas permite visualizar em tempo real quais mesas estão ocupadas, disponíveis ou aguardando limpeza. Garçons podem abrir comandas diretamente pelo tablet.",mesas;comanda;pedido;status;garçom
12,Funcionalidades,Como configurar a impressão automática na cozinha?,"Acesse Configurações > Impressoras. Clique em 'Nova Impressora' e selecione o modelo (compatíveis: Epson, Bematech, Elgin). Defina quais categorias do cardápio serão impressas nessa impressora.",impressora;cozinha;configuração;impressão
13,Funcionalidades,Como ver os relatórios de vendas?,"Acesse Relatórios > Vendas. Você pode filtrar por período, por categoria de produto, por garçom ou por forma de pagamento. Os relatórios podem ser exportados em PDF ou Excel.",relatórios;vendas;análise;exportação
14,Funcionalidades,O sistema tem controle de estoque?,"Sim! Acesse Estoque > Configurações para ativar o módulo. Você pode cadastrar insumos, definir quantidades mínimas e vincular insumos aos produtos do cardápio.",estoque;controle;insumos;inventário
15,Financeiro,Quais formas de pagamento o sistema aceita?,"O Nola aceita: dinheiro, cartão de crédito/débito, Pix, vouchers de alimentação (VR, Alelo, Sodexo), crédito na casa e comanda eletrônica.",pagamento;pix;cartão;formas de pagamento
16,Hardware,Minha impressora parou de imprimir. O que fazer?,"Siga este checklist: (1) Verifique se a impressora está ligada e com papel; (2) Confirme se o cabo está conectado; (3) Acesse Configurações > Impressoras e clique em 'Testar Impressora'; (4) Reinicie a impressora.",impressora;hardware;não imprime;troubleshooting
17,Hardware,O leitor de QR Code não está funcionando na mesa. Como resolver?,"Verifique se o QR Code está atualizado — acesse Mesas > selecione a mesa > Gerar QR Code. Se o QR Code expirou, gere um novo e recoloque nas mesas.",QR Code;cardápio digital;mesa;leitor
18,Delivery,O Nola integra com o iFood?,"Sim! O Nola possui integração nativa com o iFood. Para ativar, acesse Integrações > Delivery > iFood e siga o passo a passo de vinculação.",iFood;delivery;integração;pedido online
19,Delivery,Como integrar com o Rappi ou Uber Eats?,"O Nola integra com Rappi e Uber Eats pelo mesmo menu: Integrações > Delivery. Selecione a plataforma desejada e siga as instruções de vinculação.",Rappi;Uber Eats;delivery;integração
20,Planos e Preços,Quais são os planos disponíveis da Nola?,"A Nola oferece 3 planos: Starter (até 2 usuários, 1 terminal), Pro (usuários ilimitados, múltiplos terminais, delivery) e Enterprise (multi-unidades, API aberta, gerente dedicado).",planos;preços;starter;pro;enterprise
21,Segurança,Meus dados ficam seguros na Nola?,"Sim. Todos os dados são armazenados com criptografia AES-256, em conformidade com a LGPD. Realizamos backups automáticos diários e monitoramento 24/7.",segurança;dados;LGPD;privacidade;criptografia
22,Treinamento,Existe material de treinamento para a equipe?,"Sim! Disponibilizamos: (1) Central de Ajuda em ajuda.nola.com.br; (2) Treinamentos ao vivo via Google Meet; (3) Vídeos por perfil de usuário disponíveis no app.",treinamento;tutorial;capacitação;ajuda;vídeo
